carat,color,price
0.82,D,3159
1,E,6732
0.53,F,1142
0.35,E,767
1.01,D,4004
0.54,D,1662
0.3,D,574
1.22,G,8793
0.31,G,931
1,E,7528
0.33,H,521
0.56,D,2011
1.22,H,4914
1.54,I,10349
0.9,G,4059
1.54,I,10349
0.67,D,1664
1.29,F,7126
0.31,G,789
0.7,G,2415
1.03,G,8483
0.3,H,665
0.4,F,687
2.02,H,18398
0.7,G,2437
0.72,E,2646
0.32,F,949
1.2,H,5114
0.7,D,3361
2.07,I,17045
0.28,F,787
1.14,J,4702
0.23,H,353
0.41,G,899
0.39,H,794
0.31,G,907
1.03,E,5411
1.11,E,7459
0.73,G,3459
0.72,H,2869
0.27,D,752
2.06,D,18371
1.26,I,4704
1.03,H,4078
0.38,I,648
1.01,F,8688
0.33,G,453
1,D,5390
1.12,G,5504
1.01,G,4672
0.55,H,1668
1.04,J,3603
0.31,F,625
1.34,H,8771
1.41,D,17216
0.93,D,3540
1.73,G,15014
0.42,H,898
1,E,5880
0.51,D,3223
0.53,H,1245
0.34,H,765
1.36,F,12494
0.4,H,1238
0.31,G,471
1.08,G,4675
0.58,G,1343
1.2,E,7362
1.01,E,5479
0.38,I,703
1,D,5987
0.9,G,4079
0.52,F,1550
1.23,E,3692
0.65,E,1708
0.3,D,1094
1.56,I,8470
1.02,F,6220
0.32,F,828
1.26,G,5937
0.87,H,3118
1.17,I,2935
0.42,F,691
0.32,D,972
0.75,F,3220
0.3,E,663
2.03,F,6753
1.01,G,6353
0.9,G,4022
0.81,E,3270
0.7,D,3622
0.34,E,1014
0.35,D,829
1.02,J,3359
0.37,D,1071
0.79,F,3081
1.19,G,7989
0.38,F,766
0.4,G,702
0.3,G,675
0.91,D,5597
1.13,G,7404
0.42,F,1103
1.83,F,11782
2.18,H,12825
0.33,D,781
0.41,D,873
0.7,E,2241
1.23,H,7946
1.33,I,6390
0.35,H,706
0.31,G,977
0.46,E,1834
1.03,I,3997
0.35,E,672
0.33,H,743
0.32,E,892
0.42,D,1179
1.03,D,5393
0.53,F,1592
1.01,J,3756
1.06,E,5328
0.53,D,1412
1.6,J,9032
1.07,D,4710
0.58,E,2192
0.74,G,2398
1.03,G,5037
0.7,F,2184
0.57,F,1376
0.5,D,1980
0.43,E,1245
0.3,F,776
2.16,I,18029
1.5,H,7812
0.31,G,707
1.03,G,8454
1.2,H,5669
0.39,E,883
0.8,H,2845
2.14,I,14138
1.7,H,6397
1.05,H,4692
0.42,E,1024
0.71,G,3431
0.59,H,1870
1.5,H,6838
0.2,D,367
1.21,H,5902
1.64,G,17604
0.31,D,507
0.36,F,1013
0.7,F,3018
1.01,F,3197
1.01,E,6335
1.31,F,9797
0.72,D,3219
0.33,I,434
0.58,H,1386
0.59,F,2611
1.2,E,11301
0.5,G,1637
0.52,J,1141
1.32,I,7125
0.33,F,854
0.7,F,2473
1.35,G,9729
0.3,H,675
1.4,E,12196
0.9,G,2857
0.37,D,794
0.24,G,504
0.57,E,1406
1.52,I,8477
0.41,F,1076
0.46,E,1194
0.33,E,1002
1.53,D,12981
0.28,E,487
0.32,H,505
0.3,G,878
1,G,5860
1.05,D,5762
1.16,G,10368
0.36,G,794
0.56,H,1432
1.2,D,9912
