wage,educ,sex,exper,union
9,10,M,27,Not
5.5,12,M,20,Not
3.8,12,F,4,Not
10.5,12,F,29,Not
15,12,M,40,Union
9,16,F,27,Not
9.57,12,F,5,Union
15,14,M,22,Not
11,8,M,42,Not
5,12,F,14,Not
24.98,17,M,18,Not
20.4,17,M,3,Not
25,14,M,4,Union
13.98,14,M,14,Not
3.5,12,M,35,Not
5,14,M,0,Not
10,16,M,7,Union
15,16,M,26,Union
5.83,13,M,3,Not
9.1,13,M,16,Not
11.25,17,F,32,Not
13,12,M,25,Union
8,14,F,15,Union
4.28,12,F,38,Not
7.88,16,M,17,Not
6.94,12,F,7,Not
24.98,17,F,5,Not
10,14,M,22,Not
13.75,14,M,21,Not
5.62,13,F,2,Not
14.67,14,M,16,Not
24.98,16,M,18,Not
12,12,M,14,Not
15,18,M,12,Not
5.77,16,M,3,Not
12.65,17,F,13,Not
11.71,16,F,42,Not
13,12,M,8,Not
12.5,15,F,6,Not
22.5,16,M,22,Not
11.25,16,F,3,Not
15.38,16,M,33,Not
7.7,13,F,8,Union
11.84,12,M,26,Not
5,14,M,0,Not
6.5,12,M,28,Not
9,8,M,33,Union
3.35,12,M,0,Not
4.5,12,F,7,Not
10.53,14,F,12,Not
3.5,9,M,47,Union
15,16,M,12,Not
8.5,12,F,25,Not
9.17,12,F,44,Not
9.6,9,M,33,Union
6.88,8,F,22,Not
13.95,18,F,14,Not
10,14,M,22,Not
3.75,12,F,41,Not
8,12,F,8,Not
11.67,12,F,43,Not
8.89,8,F,29,Not
4,12,M,6,Union
5.5,12,F,21,Not
3.35,16,M,3,Not
10.81,12,F,40,Not
7,12,M,5,Not
10,13,M,34,Union
5.4,16,F,10,Not
7.5,12,F,10,Not
11.25,12,M,41,Union
10,10,F,25,Union
4,13,M,0,Not
13.51,18,M,14,Union
6.75,12,M,22,Not
14.29,14,F,32,Not
9.75,15,F,9,Not
3.35,12,F,0,Not
3.4,8,F,49,Not
5.62,14,F,32,Not
7,12,M,7,Union
10,16,F,10,Not
6.1,10,F,44,Union
4.17,12,F,27,Not
4.8,12,F,16,Not
5.75,12,M,3,Not
4.75,12,M,8,Not
9.37,17,M,7,Union
5.25,12,F,8,Not
4.95,9,F,42,Not
19.38,16,F,11,Not
19.98,12,M,23,Not
4,12,M,4,Not
5,12,F,0,Not
10.58,14,M,25,Not
10,12,M,22,Union
7.38,14,F,15,Not
12.5,15,M,10,Not
4,16,F,20,Not
15.03,12,F,24,Not
16,12,M,12,Not
3.56,12,F,12,Not
4.5,12,M,16,Not
4.55,12,F,4,Not
3.6,12,F,43,Not
8,12,F,14,Not
4.75,12,F,10,Not
6.73,12,M,2,Not
11.11,12,M,28,Not
6,7,F,15,Not
10,12,M,20,Not
11.25,12,F,30,Not
3.95,12,F,9,Not
17.5,16,M,13,Not
3.55,13,F,1,Not
